Unnamed: 0,order_book_id,date,prev_settlement,total_turnover,low,high,close,settlement,limit_up,contract_multiplier,prev_close,open_interest,day_session_open,limit_down,open,strike_price,volume,maturity_date,underlying_symbol,option_type,exercise_type,time_to_expire,delta,gamma,vega,theta,rho,iv,underlying_close,underlying_open,underlying_high,underlying_low,hv_20d,risk_free_rate,moneyness(S/K),log_moneyness(ln(S/K)),moneyness(K/S),log_moneyness(ln(K/S)),call_put,euro_american,expiry_yymm
2265,IO2409C3600,2024-04-12,88.6,1597080.0,75.0,88.8,75.8,75.8,439.0,100,88.6,1741.0,88.8,0.2,88.8,3600.0,191.0,2024-09-20,IO,Call,E,0.4410958904109589,0.3844411871553573,0.0012937982369158,882.038697759563,-146.5463598604537,555.981891288,0.1279289378664973,3475.8389,3505.7499,3516.6988,3470.0611,0.1134889598569179,0.022837,0.9655108055555556,-0.0350979855080889,1.0357211894947145,0.0350979855080889,0,0,2409
3737,IO2403C4500,2023-09-06,43.4,363040.0,39.0,43.8,41.6,41.0,425.4,100,42.8,417.0,39.4,0.2,39.4,4500.0,88.0,2024-03-15,IO,Call,E,0.5232876712328767,0.1539627264874413,0.0004295172246767,654.1823366424038,-133.2130065465387,285.3533654592508,0.200292871977157,3812.0283,3808.1,3817.5239,3790.8949,0.1612321218916634,0.026375,0.8471174,-0.1659159870874264,1.18047392250472,0.1659159870874264,0,0,2403
768,IO2402C3600,2023-12-27,18.4,486960.0,17.0,20.2,19.2,19.2,350.8,100,18.4,1140.0,18.0,0.2,18.0,3600.0,263.0,2024-02-19,IO,Call,E,0.147945205479452,0.1580764623564777,0.0010099454842683,309.7726639352158,-200.751525622402,75.18555124448723,0.1862512434895987,3336.3572,3326.9267,3341.2659,3309.6731,0.1160899391508129,0.025577,0.9267658888888888,-0.0760542923570844,1.079021155168877,0.0760542923570845,0,0,2402
801,IO2409C3100,2024-07-11,309.2,177600.0,351.4,361.0,351.4,353.6,652.0,100,314.8,523.0,356.0,0.2,356.0,3100.0,5.0,2024-09-20,IO,Call,E,0.1945205479452054,1.0,0.0,0.0,-38.43068885965391,601.5577898842506,4.861130886908765e-08,3468.169,3451.0442,3473.9837,3438.118,0.0942168096287236,0.022648,1.118764193548387,0.1122246774970743,0.8938434084382855,-0.1122246774970744,0,0,2409
1245,IO2401C4000,2023-11-22,6.2,58320.0,5.2,6.0,5.2,5.2,364.2,100,6.2,331.0,5.8,0.2,5.8,4000.0,101.0,2024-01-19,IO,Call,E,0.1589041095890411,0.0507697659647484,0.0004158082414113,147.5054267459811,-85.14008431857359,27.768483423611368,0.1777011959384536,3544.4162,3569.4389,3574.3782,3544.4162,0.1055902520517411,0.026823,0.88610405,-0.1209208973490985,1.1285356386758416,0.1209208973490985,0,0,2401
2448,IO2406C3800,2024-01-29,34.4,131340.0,31.8,39.8,32.0,31.8,367.6,100,34.4,1540.0,39.8,0.2,39.8,3800.0,39.0,2024-06-21,IO,Call,E,0.3945205479452054,0.1566789155804137,0.000582200678393,498.0305237810685,-133.14251902083433,191.60366689324343,0.1986295960861858,3303.9604,3335.3936,3351.3715,3303.9604,0.1677044262102429,0.02494,0.8694632631578947,-0.1398791966175898,1.1501348502845252,0.1398791966175897,0,0,2406
667,IO2404C3400,2024-03-27,159.0,3908560.0,128.0,159.0,128.0,128.0,513.2,100,159.0,850.0,149.8,0.2,149.8,3400.0,270.0,2024-04-19,IO,Call,E,0.0630136986301369,0.7626576147976908,0.0019905986392767,271.68686219616586,-417.4424249425376,160.2706766505366,0.1765316596870637,3502.7866,3538.7244,3542.9624,3502.7866,0.1242727413187285,0.0228759999999999,1.0302313529411764,0.0297833915254795,0.9706557630430585,-0.0297833915254795,0,0,2404
3557,IO2403C4400,2023-12-04,5.4,17160.0,5.2,5.2,5.2,5.2,353.6,100,5.4,938.0,5.2,0.2,5.2,4400.0,33.0,2024-03-15,IO,Call,E,0.2794520547945205,0.0323105326520237,0.0001684826878778,132.33529077276148,-56.83309527694873,29.789067486367827,0.234761159705448,3460.138,3481.0449,3488.133,3459.611,0.0796521550655379,0.026725,0.786395,-0.2402960682568803,1.27162558256347,0.2402960682568803,0,0,2403
1302,IO2402P3000,2024-01-05,3.2,13200.0,2.2,3.8,3.8,3.8,337.8,100,3.8,100.0,3.2,0.2,3.2,3000.0,49.0,2024-02-19,IO,Put,E,0.1232876712328767,-0.0433209877887544,0.0004382580931237,107.45463637636182,-75.94725433183898,-18.249279545113485,0.179439854703713,3329.1114,3341.3061,3372.5444,3313.5542,0.1415570153216646,0.025175,1.1097038,0.1040931328674409,0.9011413676334172,-0.1040931328674409,1,0,2402
1912,IO2406C3600,2024-06-04,33.0,45532140.0,30.8,48.4,41.0,41.0,391.8,100,33.0,5602.0,30.8,0.2,30.8,3600.0,11942.0,2024-06-21,IO,Call,E,0.0465753424657534,0.5942991427131802,0.0049349758182698,302.5610636437468,-354.4564593834916,98.17107986986608,0.1006917860694208,3615.6714,3583.8104,3622.5012,3580.2771,0.1084318901045913,0.022854,1.0043531666666667,0.004343719044778,0.9956657012581396,-0.004343719044778,0,0,2406
